participant,session,condition,totalAmountOfMovementP1,totalAmountOfMovementP2
1,1,pre,1.2719934654429956,
1,2,pre,1.2828309980160282,
1,3,pre,1.2236069973153365,
1,4,pre,1.1955411477583198,
1,5,pre,1.2782094810161388,
1,6,pre,1.2128937204118944,
1,7,pre,1.382232627785983,
1,8,pre,1.145330242246747,
1,9,pre,1.2194331193295365,
1,10,pre,1.2949525182448192,
1,1,integration,1.823131648698447,0.6579334384423723
1,2,integration,1.5178362195717443,1.122363067050283
1,3,integration,1.8971332858569327,0.9366627772561438
1,4,integration,1.80651521807072,0.594099352239376
1,5,integration,1.5465170771705057,0.990731308386846
1,6,integration,1.439656174988404,0.9706726026012568
1,7,integration,2.0295729779528964,0.713277683729552
1,8,integration,1.644715141314398,0.9018799033702476
1,9,integration,1.8331992137723407,0.6656104304673569
1,10,integration,1.855683346187091,0.7010704373379759
1,11,integration,1.4783738267751103,0.9056811018269582
1,12,integration,1.698178631174578,0.7228399674437656
1,13,integration,1.8568492163829808,0.7544498845709928
1,14,integration,1.8257826442042504,0.8115073985655418
1,15,integration,1.6056721991412368,0.8267250242038167
1,16,integration,1.6398425180565273,1.0841985557343998
1,17,integration,1.819449158479548,0.820015401357003
1,18,integration,1.4457777996103427,0.9976118082727908
1,19,integration,1.8570601377073177,0.6792373208047158
1,20,integration,1.370433311009385,0.9901602210663104
1,21,integration,1.6958072808508518,0.7432023929481446
1,22,integration,1.4029056270128684,0.906970792233003
1,23,integration,1.7874564784025866,0.582799739966912
1,24,integration,1.9401527857124257,0.5321825853155513
1,25,integration,1.633010595050704,0.8976442620194054
1,26,integration,1.8059068858766525,0.7099332169866033
1,27,integration,1.6203168000422925,0.8706722913101221
1,28,integration,2.0226257303943047,0.5901751745277705
1,29,integration,1.523611613069477,0.8823368104200855
1,30,integration,1.6397126491329517,0.789901223807026
1,31,integration,1.8852780915314349,0.6895718231716936
1,32,integration,1.7223254739301332,1.0594938208989315
1,1,compatibility,1.6125877284642471,1.0541322251208136
1,2,compatibility,1.870716396040086,0.662815997002611
1,1,post,1.2871678852598012,
1,2,post,1.3263030840336,
1,3,post,1.1684350050025665,
1,4,post,1.1611817944743863,
1,5,post,1.2634762757294458,
1,6,post,1.2032096534222951,
1,7,post,1.1228323283674193,
1,8,post,1.1385397669250057,
1,9,post,1.223035273718598,
1,10,post,1.089896215312167,
2,1,pre,1.447275998187647,
2,2,pre,1.4462722286864576,
2,3,pre,1.3364219923682268,
2,4,pre,1.2426242698758885,
2,5,pre,1.3326233004058905,
2,6,pre,1.3155031636899177,
2,7,pre,1.2353991671846722,
2,8,pre,1.2212301894112505,
2,9,pre,1.3566272254128806,
2,10,pre,1.2700145562315868,
2,1,integration,1.4972472259375564,1.4283782009741075
2,2,integration,1.5766878850422494,1.9215150042303453
2,3,integration,1.2677244140678057,1.635341761086199
2,4,integration,1.0135842835684965,1.494341017742068
2,5,integration,1.4373241639356151,1.3968415208129294
2,6,integration,1.3411873500028946,1.617137344706323
2,7,integration,1.3128910923455694,1.48942882903148
2,8,integration,1.4472704244256476,1.3769148135896208
2,9,integration,1.5006528846555738,1.809662683736764
2,10,integration,1.1815807489082395,1.4984862441589757
2,11,integration,1.334224418802774,1.807924848000597
2,12,integration,1.4037996989176138,0.932370614839411
2,13,integration,1.3100031584579108,1.459471526755972
2,14,integration,1.2567928994407005,1.3483917206741989
2,15,integration,1.5762050189323944,1.2545410659956118
2,16,integration,1.3079348766568817,1.5282378477127532
2,17,integration,1.7066683058908168,1.0071139155248847
2,18,integration,1.7175630522444778,0.8468983378225925
2,19,integration,1.7012485602017495,0.7946858538927202
2,20,integration,1.692892123333999,1.2192719701951853
2,21,integration,1.7470666874169185,0.7658028510064059
2,22,integration,1.7757645416129575,0.955617366642108
2,23,integration,1.719438700441458,0.7194517046531957
2,24,integration,1.7653575488574798,0.4818262380991386
2,25,integration,1.7211533677353303,0.6424029888980105
2,26,integration,1.557565257571314,0.8848846359668687
2,27,integration,1.877710102414084,0.6208879833480446
2,28,integration,1.971530346339384,0.529101676667737
2,29,integration,1.6416243285048,0.8271590657302468
2,30,integration,1.9168958652495856,0.7885689606004247
2,31,integration,1.7205824553641422,0.8221144433574645
2,32,integration,1.9539196217132853,0.7915646173106736
2,1,compatibility,1.6873956004300537,0.7947941951865181
2,2,compatibility,1.848909050725973,0.7573724138040028
2,1,post,1.2250143482756943,
2,2,post,1.2798117584979771,
2,3,post,1.216199690501402,
2,4,post,1.2903917972107566,
2,5,post,1.271072879394832,
2,6,post,1.279379983723048,
2,7,post,1.210672126582932,
2,8,post,1.2964882358812797,
2,9,post,1.2864144147254954,
2,10,post,1.0967038305863095,
3,1,pre,1.4980852160758305,
3,2,pre,1.239230857264005,
3,3,pre,1.3504156993010872,
3,4,pre,1.2352731155719257,
3,5,pre,1.1250914173105273,
3,6,pre,1.4014034725179996,
3,7,pre,1.49154075791246,
3,8,pre,1.4083552617987454,
3,9,pre,1.2194359732815916,
3,10,pre,1.2937051681680631,
3,1,integration,1.3153685788486915,1.5857021728623533
3,2,integration,0.8263483806932186,1.945899878846315
3,3,integration,1.2870047874958173,1.1951593459183152
3,4,integration,2.476646641684722,1.7243961710550355
3,5,integration,1.0308478252924222,1.383186531498357
3,6,integration,1.4392008444453266,1.22235661172811
3,7,integration,1.2840656133761024,1.3565778914454287
3,8,integration,1.6596903475509457,1.2858100640332668
3,9,integration,1.7013346744996354,1.4270687089441951
3,10,integration,1.7720396907290592,1.0107483217280553
3,11,integration,1.9149148703443053,1.195563726572784
3,12,integration,1.5601286897848117,1.5007429994675907
3,13,integration,1.5029773518959293,1.0719015079279517
3,14,integration,1.6208097265916974,1.2859681834212051
3,15,integration,1.537225471183544,1.144428941150001
3,16,integration,1.658239735600167,1.0047577883962624
3,17,integration,1.390999280515329,1.3448850139444757
3,18,integration,1.6649730110494738,1.721322799800084
3,19,integration,1.5285445591942644,1.183351590587563
3,20,integration,2.1207723381621806,1.5254896946476708
3,21,integration,1.4897025368225845,1.4455472194342764
3,22,integration,1.7505659975959516,1.0492307714072575
3,23,integration,1.686985355944013,0.6203404378493567
3,24,integration,1.73698588246361,1.6595262173057652
3,25,integration,1.5826749514187235,1.2736820616552054
3,26,integration,1.5982799041030185,0.9439199620777512
