Stimuli,Responses,Accuracy,Confidence,nTrial,Subject
1,1,1,6,1,1
1,1,1,6,2,1
0,0,1,3,3,1
1,1,1,2,4,1
0,0,1,3,5,1
1,1,1,4,6,1
1,1,1,4,7,1
1,1,1,4,8,1
0,1,0,4,9,1
1,1,1,4,10,1
1,1,1,4,11,1
0,1,0,4,12,1
0,0,1,4,13,1
1,1,1,5,14,1
0,0,1,2,15,1
1,0,0,7,16,1
1,1,1,7,17,1
1,1,1,7,18,1
1,0,0,5,19,1
1,0,0,5,20,1
1,0,0,3,21,1
0,0,1,5,22,1
1,1,1,1,23,1
1,1,1,3,24,1
1,1,1,4,25,1
1,1,1,3,26,1
1,1,1,2,27,1
0,0,1,1,28,1
1,0,0,2,29,1
1,1,1,2,30,1
0,1,0,6,1,2
0,0,1,5,2,2
1,1,1,7,3,2
1,0,0,6,4,2
1,0,0,2,5,2
0,0,1,4,6,2
1,1,1,3,7,2
1,1,1,4,8,2
0,0,1,5,9,2
0,1,0,1,10,2
1,0,0,2,11,2
1,1,1,6,12,2
0,0,1,7,13,2
1,1,1,5,14,2
1,1,1,5,15,2
0,0,1,7,16,2
0,0,1,2,17,2
1,1,1,6,18,2
1,1,1,3,19,2
1,1,1,6,20,2
1,1,1,2,21,2
0,0,1,6,22,2
0,1,0,3,23,2
1,0,0,6,24,2
1,1,1,4,25,2
0,1,0,7,26,2
1,0,0,7,27,2
1,1,1,6,28,2
1,1,1,7,29,2
0,0,1,5,30,2
0,1,0,4,1,4
1,1,1,7,2,4
1,1,1,5,3,4
1,1,1,7,4,4
0,0,1,7,5,4
1,1,1,6,6,4
0,0,1,6,7,4
1,1,1,7,8,4
1,1,1,5,9,4
1,1,1,6,10,4
1,1,1,7,11,4
0,0,1,6,12,4
1,1,1,6,13,4
1,1,1,7,14,4
1,1,1,7,15,4
1,1,1,7,16,4
1,1,1,6,17,4
0,0,1,6,18,4
1,1,1,6,19,4
0,0,1,5,20,4
1,1,1,4,21,4
1,1,1,7,22,4
0,1,0,6,23,4
1,0,0,7,24,4
0,0,1,6,25,4
1,1,1,7,26,4
1,1,1,7,27,4
0,0,1,6,28,4
1,1,1,3,29,4
0,0,1,5,30,4
1,1,1,6,1,5
0,0,1,2,2,5
1,1,1,5,3,5
0,0,1,6,4,5
0,0,1,7,5,5
1,1,1,7,6,5
1,1,1,7,7,5
1,1,1,7,8,5
1,1,1,7,9,5
1,1,1,3,10,5
0,0,1,6,11,5
1,1,1,5,12,5
0,0,1,2,13,5
1,1,1,3,14,5
0,0,1,6,15,5
1,1,1,6,16,5
0,0,1,3,17,5
1,1,1,1,18,5
1,1,1,5,19,5
1,0,0,6,20,5
1,1,1,2,21,5
1,0,0,1,22,5
1,1,1,5,23,5
0,1,0,5,24,5
0,0,1,2,25,5
1,1,1,6,26,5
1,0,0,3,27,5
1,0,0,7,28,5
1,0,0,3,29,5
1,0,0,6,30,5
1,1,1,5,1,7
1,1,1,7,2,7
1,0,0,6,3,7
1,0,0,5,4,7
1,1,1,3,5,7
0,1,0,3,6,7
1,1,1,4,7,7
0,1,0,4,8,7
0,0,1,4,9,7
1,1,1,5,10,7
1,1,1,6,11,7
1,0,0,5,12,7
1,0,0,5,13,7
0,1,0,6,14,7
1,1,1,5,15,7
1,0,0,5,16,7
0,0,1,4,17,7
0,1,0,5,18,7
1,0,0,4,19,7
0,1,0,4,20,7
0,0,1,4,21,7
1,1,1,4,22,7
0,1,0,4,23,7
1,0,0,3,24,7
1,1,1,5,25,7
1,0,0,4,26,7
1,1,1,4,27,7
1,1,1,4,28,7
0,1,0,4,29,7
1,0,0,6,30,7
0,1,0,3,1,8
1,0,0,3,2,8
1,1,1,4,3,8
0,1,0,4,4,8
0,1,0,5,5,8
1,0,0,5,6,8
1,0,0,3,7,8
1,1,1,5,8,8
1,0,0,4,9,8
0,0,1,4,10,8
0,1,0,6,11,8
1,1,1,4,12,8
0,0,1,4,13,8
0,1,0,5,14,8
1,1,1,5,15,8
1,1,1,6,16,8
1,1,1,3,17,8
1,1,1,5,18,8
1,0,0,4,19,8
1,0,0,3,20,8
1,1,1,4,21,8
1,0,0,4,22,8
0,1,0,5,23,8
1,0,0,5,24,8
1,1,1,6,25,8
0,0,1,6,26,8
1,1,1,5,27,8
1,1,1,6,28,8
1,0,0,4,29,8
1,0,0,6,30,8
0,1,0,5,1,9
0,0,1,4,2,9
1,1,1,3,3,9
0,1,0,4,4,9
1,0,0,6,5,9
0,0,1,5,6,9
1,1,1,5,7,9
0,0,1,6,8,9
1,0,0,3,9,9
0,0,1,6,10,9
1,1,1,4,11,9
0,0,1,4,12,9
1,0,0,3,13,9
1,1,1,3,14,9
0,0,1,2,15,9
1,1,1,5,16,9
1,0,0,4,17,9
0,1,0,3,18,9
1,1,1,5,19,9
1,0,0,5,20,9
1,1,1,3,21,9
1,0,0,3,22,9
0,1,0,5,23,9
1,0,0,5,24,9
0,0,1,4,25,9
0,0,1,2,26,9
1,0,0,4,27,9
0,1,0,3,28,9
0,0,1,3,29,9
1,1,1,4,30,9
