Stimuli,Responses,Accuracy,Confidence,nTrial,Subject
1,1,1,6,1,1
1,1,1,6,2,1
0,0,1,3,3,1
1,1,1,2,4,1
0,0,1,3,5,1
1,1,1,4,6,1
1,1,1,4,7,1
1,1,1,4,8,1
0,1,0,4,9,1
1,1,1,4,10,1
1,1,1,4,11,1
0,1,0,4,12,1
0,0,1,4,13,1
1,1,1,5,14,1
0,0,1,2,15,1
0,1,0,6,1,2
0,0,1,5,2,2
1,1,1,7,3,2
1,0,0,6,4,2
1,0,0,2,5,2
0,0,1,4,6,2
1,1,1,3,7,2
1,1,1,4,8,2
0,0,1,5,9,2
0,1,0,1,10,2
1,0,0,2,11,2
1,1,1,6,12,2
0,0,1,7,13,2
1,1,1,5,14,2
1,1,1,5,15,2
0,1,0,4,1,4
1,1,1,7,2,4
1,1,1,5,3,4
1,1,1,7,4,4
0,0,1,7,5,4
1,1,1,6,6,4
0,0,1,6,7,4
1,1,1,7,8,4
1,1,1,5,9,4
1,1,1,6,10,4
1,1,1,7,11,4
0,0,1,6,12,4
1,1,1,6,13,4
1,1,1,7,14,4
1,1,1,7,15,4
1,1,1,6,1,5
0,0,1,2,2,5
1,1,1,5,3,5
0,0,1,6,4,5
0,0,1,7,5,5
1,1,1,7,6,5
1,1,1,7,7,5
1,1,1,7,8,5
1,1,1,7,9,5
1,1,1,3,10,5
0,0,1,6,11,5
1,1,1,5,12,5
0,0,1,2,13,5
1,1,1,3,14,5
0,0,1,6,15,5
1,1,1,5,1,7
1,1,1,7,2,7
1,0,0,6,3,7
1,0,0,5,4,7
1,1,1,3,5,7
0,1,0,3,6,7
1,1,1,4,7,7
0,1,0,4,8,7
0,0,1,4,9,7
1,1,1,5,10,7
1,1,1,6,11,7
1,0,0,5,12,7
1,0,0,5,13,7
0,1,0,6,14,7
1,1,1,5,15,7
0,1,0,3,1,8
1,0,0,3,2,8
1,1,1,4,3,8
0,1,0,4,4,8
0,1,0,5,5,8
1,0,0,5,6,8
1,0,0,3,7,8
1,1,1,5,8,8
1,0,0,4,9,8
0,0,1,4,10,8
0,1,0,6,11,8
1,1,1,4,12,8
0,0,1,4,13,8
0,1,0,5,14,8
1,1,1,5,15,8
0,1,0,5,1,9
0,0,1,4,2,9
1,1,1,3,3,9
0,1,0,4,4,9
1,0,0,6,5,9
0,0,1,5,6,9
1,1,1,5,7,9
0,0,1,6,8,9
1,0,0,3,9,9
0,0,1,6,10,9
1,1,1,4,11,9
0,0,1,4,12,9
1,0,0,3,13,9
1,1,1,3,14,9
0,0,1,2,15,9
