Stimuli,Responses,Accuracy,Confidence,nTrial,Subject
1,1,1,6,1,1
1,1,1,6,2,1
0,0,1,3,3,1
1,1,1,2,4,1
0,0,1,3,5,1
1,1,1,4,6,1
1,1,1,4,7,1
1,1,1,4,8,1
0,1,0,4,9,1
1,1,1,4,10,1
1,1,1,4,11,1
0,1,0,4,12,1
0,0,1,4,13,1
1,1,1,5,14,1
0,0,1,2,15,1
1,0,0,7,16,1
1,1,1,7,17,1
1,1,1,7,18,1
1,0,0,5,19,1
1,0,0,5,20,1
1,0,0,3,21,1
0,0,1,5,22,1
1,1,1,1,23,1
1,1,1,3,24,1
1,1,1,4,25,1
1,1,1,3,26,1
1,1,1,2,27,1
0,0,1,1,28,1
1,0,0,2,29,1
1,1,1,2,30,1
0,1,0,6,1,2
0,0,1,5,2,2
1,1,1,7,3,2
1,0,0,6,4,2
1,0,0,2,5,2
0,0,1,4,6,2
1,1,1,3,7,2
1,1,1,4,8,2
0,0,1,5,9,2
0,1,0,1,10,2
1,0,0,2,11,2
1,1,1,6,12,2
0,0,1,7,13,2
1,1,1,5,14,2
1,1,1,5,15,2
0,0,1,7,16,2
0,0,1,2,17,2
1,1,1,6,18,2
1,1,1,3,19,2
1,1,1,6,20,2
1,1,1,2,21,2
0,0,1,6,22,2
0,1,0,3,23,2
1,0,0,6,24,2
1,1,1,4,25,2
0,1,0,7,26,2
1,0,0,7,27,2
1,1,1,6,28,2
1,1,1,7,29,2
0,0,1,5,30,2
0,1,0,4,1,4
1,1,1,7,2,4
1,1,1,5,3,4
1,1,1,7,4,4
0,0,1,7,5,4
1,1,1,6,6,4
0,0,1,6,7,4
1,1,1,7,8,4
1,1,1,5,9,4
1,1,1,6,10,4
1,1,1,7,11,4
0,0,1,6,12,4
1,1,1,6,13,4
1,1,1,7,14,4
1,1,1,7,15,4
1,1,1,7,16,4
1,1,1,6,17,4
0,0,1,6,18,4
1,1,1,6,19,4
0,0,1,5,20,4
1,1,1,4,21,4
1,1,1,7,22,4
0,1,0,6,23,4
1,0,0,7,24,4
0,0,1,6,25,4
1,1,1,7,26,4
1,1,1,7,27,4
0,0,1,6,28,4
1,1,1,3,29,4
0,0,1,5,30,4
1,1,1,6,1,5
0,0,1,2,2,5
1,1,1,5,3,5
0,0,1,6,4,5
0,0,1,7,5,5
1,1,1,7,6,5
1,1,1,7,7,5
1,1,1,7,8,5
1,1,1,7,9,5
1,1,1,3,10,5
0,0,1,6,11,5
1,1,1,5,12,5
0,0,1,2,13,5
1,1,1,3,14,5
0,0,1,6,15,5
1,1,1,6,16,5
0,0,1,3,17,5
1,1,1,1,18,5
1,1,1,5,19,5
1,0,0,6,20,5
1,1,1,2,21,5
1,0,0,1,22,5
1,1,1,5,23,5
0,1,0,5,24,5
0,0,1,2,25,5
1,1,1,6,26,5
1,0,0,3,27,5
1,0,0,7,28,5
1,0,0,3,29,5
1,0,0,6,30,5
1,1,1,3,1,12
0,1,0,5,2,12
0,0,1,6,3,12
1,1,1,6,4,12
1,1,1,3,5,12
0,1,0,2,6,12
0,0,1,6,7,12
1,1,1,4,8,12
1,0,0,6,9,12
1,0,0,6,10,12
0,0,1,6,11,12
0,1,0,3,12,12
1,1,1,3,13,12
1,1,1,7,14,12
0,1,0,2,15,12
1,1,1,7,16,12
1,0,0,4,17,12
1,1,1,6,18,12
0,0,1,7,19,12
1,1,1,5,20,12
1,1,1,3,21,12
1,0,0,3,22,12
1,1,1,5,23,12
1,1,1,5,24,12
1,1,1,3,25,12
1,1,1,6,26,12
1,1,1,6,27,12
1,1,1,2,28,12
1,0,0,5,29,12
0,0,1,6,30,12
