Stimuli,Responses,Accuracy,Confidence,nTrial,Subject
1,0,0,6,1,3
1,1,1,2,2,3
0,0,1,4,3,3
1,1,1,6,4,3
1,1,1,5,5,3
1,0,0,4,6,3
1,0,0,4,7,3
1,1,1,5,8,3
1,1,1,4,9,3
0,1,0,5,10,3
0,1,0,5,11,3
1,1,1,4,12,3
0,1,0,2,13,3
0,0,1,5,14,3
1,1,1,4,15,3
0,1,0,3,1,6
0,0,1,6,2,6
1,1,1,6,3,6
0,0,1,6,4,6
1,1,1,6,5,6
1,0,0,6,6,6
0,1,0,6,7,6
0,0,1,7,8,6
1,1,1,5,9,6
0,1,0,3,10,6
0,1,0,4,11,6
1,0,0,5,12,6
0,0,1,6,13,6
0,0,1,4,14,6
1,0,0,4,15,6
0,0,1,3,1,10
1,0,0,5,2,10
0,1,0,4,3,10
1,0,0,3,4,10
1,0,0,3,5,10
0,0,1,3,6,10
0,1,0,4,7,10
1,0,0,3,8,10
1,0,0,5,9,10
1,0,0,3,10,10
1,1,1,4,11,10
0,0,1,3,12,10
1,1,1,5,13,10
1,1,1,5,14,10
1,0,0,2,15,10
1,1,1,5,1,11
0,1,0,4,2,11
0,1,0,5,3,11
1,0,0,6,4,11
0,1,0,6,5,11
1,0,0,6,6,11
1,1,1,6,7,11
0,1,0,4,8,11
1,0,0,4,9,11
1,1,1,6,10,11
1,1,1,6,11,11
0,0,1,6,12,11
1,0,0,5,13,11
0,1,0,6,14,11
0,1,0,5,15,11
1,1,1,3,1,12
0,1,0,5,2,12
0,0,1,6,3,12
1,1,1,6,4,12
1,1,1,3,5,12
0,1,0,2,6,12
0,0,1,6,7,12
1,1,1,4,8,12
1,0,0,6,9,12
1,0,0,6,10,12
0,0,1,6,11,12
0,1,0,3,12,12
1,1,1,3,13,12
1,1,1,7,14,12
0,1,0,2,15,12
0,0,1,6,1,13
1,0,0,4,2,13
1,0,0,6,3,13
1,1,1,5,4,13
1,0,0,4,5,13
1,0,0,6,6,13
1,0,0,6,7,13
1,1,1,4,8,13
0,1,0,6,9,13
1,0,0,6,10,13
0,1,0,4,11,13
1,1,1,4,12,13
1,1,1,5,13,13
1,0,0,6,14,13
1,0,0,3,15,13
