Stimuli,Responses,Accuracy,Confidence,nTrial,Subject
0,0,1,6,16,3
0,0,1,3,17,3
1,0,0,2,18,3
1,1,1,5,19,3
1,0,0,3,20,3
0,1,0,5,21,3
1,1,1,3,22,3
0,1,0,5,23,3
1,0,0,4,24,3
0,1,0,5,25,3
0,1,0,6,26,3
1,1,1,5,27,3
1,1,1,6,28,3
0,0,1,6,29,3
1,1,1,5,30,3
0,0,1,6,16,6
0,1,0,5,17,6
1,1,1,6,18,6
0,0,1,6,19,6
0,1,0,4,20,6
1,0,0,5,21,6
1,1,1,3,22,6
0,0,1,5,23,6
1,1,1,3,24,6
0,1,0,5,25,6
1,0,0,4,26,6
0,1,0,3,27,6
1,0,0,5,28,6
1,1,1,3,29,6
0,0,1,6,30,6
0,1,0,6,16,10
1,0,0,3,17,10
1,0,0,4,18,10
0,1,0,7,19,10
1,0,0,4,20,10
0,0,1,3,21,10
0,1,0,4,22,10
1,0,0,3,23,10
1,0,0,3,24,10
1,1,1,5,25,10
0,0,1,2,26,10
1,1,1,3,27,10
0,0,1,3,28,10
0,0,1,3,29,10
1,1,1,4,30,10
0,1,0,3,16,11
1,0,0,3,17,11
0,0,1,3,18,11
1,0,0,2,19,11
0,1,0,3,20,11
1,1,1,4,21,11
1,1,1,3,22,11
1,0,0,4,23,11
1,1,1,5,24,11
0,0,1,3,25,11
1,1,1,3,26,11
1,0,0,5,27,11
0,1,0,6,28,11
1,0,0,4,29,11
1,1,1,3,30,11
1,1,1,7,16,12
1,0,0,4,17,12
1,1,1,6,18,12
0,0,1,7,19,12
1,1,1,5,20,12
1,1,1,3,21,12
1,0,0,3,22,12
1,1,1,5,23,12
1,1,1,5,24,12
1,1,1,3,25,12
1,1,1,6,26,12
1,1,1,6,27,12
1,1,1,2,28,12
1,0,0,5,29,12
0,0,1,6,30,12
1,1,1,7,16,13
1,0,0,5,17,13
0,1,0,3,18,13
1,1,1,6,19,13
0,1,0,5,20,13
1,0,0,3,21,13
1,0,0,5,22,13
0,0,1,6,23,13
1,0,0,3,24,13
1,0,0,3,25,13
1,1,1,5,26,13
1,1,1,4,27,13
1,0,0,4,28,13
0,1,0,3,29,13
1,1,1,4,30,13
