participant,session,partner,totalAmountOfMovementP1,totalAmountOfMovementP2
1,1,B,1.823131649,0.6579334384
1,2,A,1.51783622,1.122363067
1,3,B,1.897133286,0.9366627773
1,4,B,1.806515218,0.5940993522
1,5,A,1.546517077,0.9907313084
1,6,A,1.439656175,0.9706726026
1,7,B,2.029572978,0.7132776837
1,8,A,1.644715141,0.9018799034
1,9,B,1.833199214,0.6656104305
1,10,B,1.855683346,0.7010704373
1,11,A,1.478373827,0.9056811018
1,12,B,1.698178631,0.7228399674
1,13,B,1.856849216,0.7544498846
1,14,B,1.825782644,0.8115073986
1,15,A,1.605672199,0.8267250242
1,16,A,1.639842518,1.084198556
1,17,B,1.819449158,0.8200154014
1,18,A,1.4457778,0.9976118083
1,19,B,1.857060138,0.6792373208
1,20,A,1.370433311,0.9901602211
1,21,B,1.695807281,0.7432023929
1,22,A,1.402905627,0.9069707922
1,23,B,1.787456478,0.58279974
1,24,B,1.940152786,0.5321825853
1,25,A,1.633010595,0.897644262
1,26,B,1.805906886,0.709933217
1,27,A,1.6203168,0.8706722913
1,28,B,2.02262573,0.5901751745
1,29,A,1.523611613,0.8823368104
1,30,A,1.639712649,0.7899012238
1,31,B,1.885278092,0.6895718232
1,32,A,1.722325474,1.059493821
2,1,B,1.497247226,1.428378201
2,2,B,1.576687885,1.921515004
2,3,B,1.267724414,1.635341761
2,4,A,1.013584284,1.494341018
2,5,B,1.437324164,1.396841521
2,6,A,1.34118735,1.617137345
2,7,A,1.312891092,1.489428829
2,8,B,1.447270424,1.376914814
2,9,A,1.500652885,1.809662684
2,10,A,1.181580749,1.498486244
2,11,A,1.334224419,1.807924848
2,12,B,1.403799699,0.9323706148
2,13,A,1.310003158,1.459471527
2,14,A,1.256792899,1.348391721
2,15,B,1.576205019,1.254541066
2,16,A,1.307934877,1.528237848
2,17,B,1.706668306,1.007113916
2,18,B,1.717563052,0.8468983378
2,19,B,1.70124856,0.7946858539
2,20,A,1.692892123,1.21927197
